@relation InstanceResultListener

@attribute Key_Dataset {breast-cancer,german_credit,pima_diabetes,ionosphere}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.functions.VotedPerceptron,weka.classifiers.functions.SMO}
@attribute Key_Scheme_options {'-I 1 -E 1.0 -S 1 -M 10000','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ‚"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007‚" -calibrator ‚"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4‚"'}
@attribute Key_Scheme_version_ID {-1072429260104568698,-6585883636378691736}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data
breast-cancer,1,1,weka.classifiers.functions.VotedPerceptron,'-I 1 -E 1.0 -S 1 -M 10000',-1072429260104568698,20191104.1033,257,29,19,10,0,65.517241,34.482759,0,-0.066176,0.335554,0.573388,79.305984,123.890454,25.930469,1572.989536,-1547.059067,0.894154,54.241018,-53.346864,3.792056,0.130761,14.623939,0.95,19,1,9,0,0,0.05,1,0.678571,0.95,0.791667,-0.126773,0.505556,0.692745,0.655172,0.705172,0.294828,0.344828,0.46798,0.655172,0.545977,-0.126773,0.519349,0.594723,0.395833,0.655172,0.247,0.04,0.109375,0.015625,109.375,15.625,208196,31137,6285,68.965517,51.724138,?
breast-cancer,1,2,weka.classifiers.functions.VotedPerceptron,'-I 1 -E 1.0 -S 1 -M 10000',-1072429260104568698,20191104.1033,257,29,21,8,0,72.413793,27.586207,0,0.210884,0.275862,0.525226,65.198238,113.484119,25.930469,1220.520004,-1194.589536,0.894154,42.086897,-41.192743,7.858186,0.270972,30.304834,0.95,19,0.777778,7,0.222222,2,0.05,1,0.730769,0.95,0.826087,0.261624,0.644444,0.759037,0.724138,0.551916,0.448084,0.275862,0.710875,0.724138,0.673163,0.261624,0.669444,0.72769,0.57971,0.724138,0.007,0.001,0,0,0,0,208196,31137,6285,72.413793,50,?
breast-cancer,1,3,weka.classifiers.functions.VotedPerceptron,'-I 1 -E 1.0 -S 1 -M 10000',-1072429260104568698,20191104.1033,257,29,21,8,0,72.413793,27.586207,0,0.265823,0.26662,0.509714,63.013847,110.132573,25.930469,2013.647728,-1987.717259,0.894154,69.436129,-68.541974,8.308812,0.286511,32.042661,0.9,18,0.666667,6,0.333333,3,0.1,2,0.75,0.9,0.818182,0.285774,0.661111,0.768431,0.724138,0.490805,0.509195,0.275862,0.703448,0.724138,0.697268,0.285774,0.699904,0.727417,0.623377,0.724138,0.012,0.002,0.015625,0,15.625,0,208196,31137,6285,75.862069,51.724138,?
breast-cancer,1,4,weka.classifiers.functions.VotedPerceptron,'-I 1 -E 1.0 -S 1 -M 10000',-1072429260104568698,20191104.1033,257,29,19,10,0,65.517241,34.482759,0,0.082278,0.344828,0.58722,81.497798,126.879103,25.930469,5133.570929,-5107.640461,0.894154,177.019687,-176.125533,3.340115,0.115176,12.881042,0.85,17,0.777778,7,0.222222,2,0.15,3,0.708333,0.85,0.772727,0.088454,0.497222,0.685011,0.655172,0.58295,0.41705,0.344828,0.612644,0.655172,0.621585,0.088454,0.463602,0.567404,0.529221,0.655172,0.007,0.002,0,0,0,0,208196,31137,6285,65.517241,50,?
breast-cancer,1,5,weka.classifiers.functions.VotedPerceptron,'-I 1 -E 1.0 -S 1 -M 10000',-1072429260104568698,20191104.1033,257,29,20,9,0,68.965517,31.034483,0,0.144262,0.310345,0.557086,73.348018,120.368086,25.930469,2352.227259,-2326.29679,0.894154,81.111285,-80.217131,5.59915,0.193074,21.592938,0.9,18,0.777778,7,0.222222,2,0.1,2,0.72,0.9,0.8,0.163978,0.538889,0.707751,0.689655,0.567433,0.432567,0.310345,0.651724,0.689655,0.647215,0.163978,0.595785,0.641262,0.553846,0.689655,0.008,0.002,0,0,0,0,208196,31137,6285,68.965517,50,?
breast-cancer,1,6,weka.classifiers.functions.VotedPerceptron,'-I 1 -E 1.0 -S 1 -M 10000',-1072429260104568698,20191104.1033,257,29,22,7,0,75.862069,24.137931,0,0.250923,0.241579,0.491241,58.797715,109.734651,24.707459,1824.212424,-1799.504965,0.851981,62.903877,-62.051895,8.960506,0.308983,36.266402,0.952381,20,0.75,6,0.25,2,0.047619,1,0.769231,0.952381,0.851064,0.297014,0.717262,0.828134,0.758621,0.55624,0.44376,0.241379,0.740937,0.758621,0.716601,0.297014,0.73204,0.763946,0.60735,0.758621,0.029,0.001,0.015625,0,15.625,0,208196,31137,6285,75.862069,50,?
breast-cancer,1,7,weka.classifiers.functions.VotedPerceptron,'-I 1 -E 1.0 -S 1 -M 10000',-1072429260104568698,20191104.1033,258,28,23,5,0,82.142857,17.857143,0,0.507042,0.178571,0.422369,43.103448,93.448567,24.187188,1541.440337,-1517.253148,0.863828,55.051441,-54.187612,12.929494,0.461768,53.455963,0.95,19,0.5,4,0.5,4,0.05,1,0.826087,0.95,0.883721,0.530791,0.8125,0.880402,0.821429,0.371429,0.628571,0.178571,0.818634,0.821429,0.807053,0.530791,0.830357,0.825385,0.749553,0.821429,0.006,0.001,0,0.015625,0,15.625,208617,31246,6176,82.142857,50,?
breast-cancer,1,8,weka.classifiers.functions.VotedPerceptron,'-I 1 -E 1.0 -S 1 -M 10000',-1072429260104568698,20191104.1033,258,28,21,7,0,75,25,0,0.363636,0.249358,0.498701,60.189781,110.33706,24.187188,1671.302901,-1647.115713,0.863828,59.689389,-58.825561,8.4526,0.301879,34.946602,0.85,17,0.5,4,0.5,4,0.15,3,0.809524,0.85,0.829268,0.365148,0.6625,0.782322,0.75,0.4,0.6,0.25,0.741497,0.75,0.744715,0.365148,0.66875,0.722914,0.681301,0.75,0.007,0.001,0.015625,0,15.625,0,208617,31246,6176,75,50,?
breast-cancer,1,9,weka.classifiers.functions.VotedPerceptron,'-I 1 -E 1.0 -S 1 -M 10000',-1072429260104568698,20191104.1033,258,28,17,11,0,60.714286,39.285714,0,0,0.392769,0.626642,94.80627,138.643912,24.187188,3593.532371,-3569.345183,0.863828,128.340442,-127.476614,-0.576167,-0.020577,-2.382115,0.75,15,0.75,6,0.25,2,0.25,5,0.714286,0.75,0.731707,0,0.50625,0.716463,0.607143,0.607143,0.392857,0.392857,0.591837,0.607143,0.598839,0,0.530357,0.612566,0.499187,0.607143,0.005,0.001,0.015625,0,15.625,0,208617,31246,6176,60.714286,50,?
breast-cancer,1,10,weka.classifiers.functions.VotedPerceptron,'-I 1 -E 1.0 -S 1 -M 10000',-1072429260104568698,20191104.1033,258,28,21,7,0,75,25,0,0.363636,0.25,0.5,60.344829,110.62442,24.187188,4162.637167,-4138.449979,0.863828,148.665613,-147.801785,8.426417,0.300943,34.838347,0.85,17,0.5,4,0.5,4,0.15,3,0.809524,0.85,0.829268,0.365148,0.653125,0.787619,0.75,0.4,0.6,0.25,0.741497,0.75,0.744715,0.365148,0.658482,0.694137,0.681301,0.75,0.003,0,0,0,0,0,208617,31246,6176,75,50,?
breast-cancer,2,1,weka.classifiers.functions.VotedPerceptron,'-I 1 -E 1.0 -S 1 -M 10000',-1072429260104568698,20191104.1033,257,29,20,9,0,68.965517,31.034483,0,0.0369,0.310344,0.557085,75.534514,124.442928,24.707459,2101.198896,-2076.491438,0.851981,72.455134,-71.603153,4.47217,0.154213,18.100486,0.904762,19,0.875,7,0.125,1,0.095238,2,0.730769,0.904762,0.808511,0.043679,0.630952,0.786026,0.689655,0.659893,0.340107,0.310345,0.621132,0.689655,0.63563,0.043679,0.639163,0.686124,0.495164,0.689655,0.004,0.001,0,0,0,0,208196,31137,6285,68.965517,50,?
breast-cancer,2,2,weka.classifiers.functions.VotedPerceptron,'-I 1 -E 1.0 -S 1 -M 10000',-1072429260104568698,20191104.1033,257,29,25,4,0,86.206897,13.793103,0,0.632911,0.137931,0.371391,32.599119,80.24539,25.930469,646.327378,-620.39691,0.894154,22.287151,-21.392997,16.894327,0.582563,65.152417,1,20,0.444444,4,0.555556,5,0,0,0.833333,1,0.909091,0.680414,0.766667,0.826449,0.862069,0.306513,0.693487,0.137931,0.885057,0.862069,0.848634,0.680414,0.80977,0.836715,0.811688,0.862069,0.006,0.001,0,0,0,0,208196,31137,6285,86.206897,50,?
breast-cancer,2,3,weka.classifiers.functions.VotedPerceptron,'-I 1 -E 1.0 -S 1 -M 10000',-1072429260104568698,20191104.1033,257,29,19,10,0,65.517241,34.482759,0,-0.066176,0.344828,0.58722,81.497797,126.879103,25.930469,2642.209509,-2616.279041,0.894154,91.110673,-90.216519,3.340115,0.115176,12.881043,0.95,19,1,9,0,0,0.05,1,0.678571,0.95,0.791667,-0.126773,0.425,0.657514,0.655172,0.705172,0.294828,0.344828,0.46798,0.655172,0.545977,-0.126773,0.491379,0.571062,0.395833,0.655172,0.004,0.002,0,0,0,0,208196,31137,6285,65.517241,50,?
breast-cancer,2,4,weka.classifiers.functions.VotedPerceptron,'-I 1 -E 1.0 -S 1 -M 10000',-1072429260104568698,20191104.1033,257,29,22,7,0,75.862069,24.137931,0,0.379205,0.241379,0.491304,57.048458,106.154673,25.930469,2355.033907,-2329.103439,0.894154,81.208066,-80.313912,10.117221,0.34887,39.01673,0.9,18,0.555556,5,0.444444,4,0.1,2,0.782609,0.9,0.837209,0.393383,0.669444,0.770015,0.758621,0.414176,0.585824,0.241379,0.746627,0.758621,0.742903,0.393383,0.659962,0.709678,0.685271,0.758621,0.005,0.003,0,0,0,0,208196,31137,6285,75.862069,50,?
breast-cancer,2,5,weka.classifiers.functions.VotedPerceptron,'-I 1 -E 1.0 -S 1 -M 10000',-1072429260104568698,20191104.1033,257,29,19,10,0,65.517241,34.482759,0,0.013605,0.344828,0.58722,81.497797,126.879103,25.930469,3763.818446,-3737.887977,0.894154,129.786843,-128.892689,3.340115,0.115176,12.881043,0.9,18,0.888889,8,0.111111,1,0.1,2,0.692308,0.9,0.782609,0.016879,0.505556,0.692042,0.655172,0.644061,0.355939,0.344828,0.580902,0.655172,0.591454,0.016879,0.519349,0.586496,0.474638,0.655172,0.005,0.001,0,0,0,0,208196,31137,6285,65.517241,50,?
breast-cancer,2,6,weka.classifiers.functions.VotedPerceptron,'-I 1 -E 1.0 -S 1 -M 10000',-1072429260104568698,20191104.1033,257,29,20,9,0,68.965517,31.034483,0,0.201835,0.310115,0.556673,73.293608,120.27884,25.930469,3586.376668,-3560.446199,0.894154,123.668161,-122.774007,5.608814,0.193407,21.630208,0.85,17,0.666667,6,0.333333,3,0.15,3,0.73913,0.85,0.790698,0.209381,0.577778,0.72524,0.689655,0.506322,0.493678,0.310345,0.664918,0.689655,0.669447,0.209381,0.588123,0.635634,0.595349,0.689655,0.021,0.001,0,0,0,0,208196,31137,6285,68.965517,50,?
breast-cancer,2,7,weka.classifiers.functions.VotedPerceptron,'-I 1 -E 1.0 -S 1 -M 10000',-1072429260104568698,20191104.1033,258,28,20,8,0,71.428571,28.571429,0,0.3,0.285714,0.534522,68.965516,118.262478,24.187188,4405.009934,-4380.822745,0.863828,157.321783,-156.457955,6.174878,0.220531,25.529541,0.8,16,0.5,4,0.5,4,0.2,4,0.8,0.8,0.8,0.3,0.6625,0.787619,0.714286,0.414286,0.585714,0.285714,0.714286,0.714286,0.714286,0.3,0.623214,0.682907,0.65,0.714286,0.005,0.001,0.015625,0,15.625,0,208617,31246,6176,71.428571,50,?
breast-cancer,2,8,weka.classifiers.functions.VotedPerceptron,'-I 1 -E 1.0 -S 1 -M 10000',-1072429260104568698,20191104.1033,258,28,20,8,0,71.428571,28.571429,0,0.096774,0.285702,0.5345,68.962626,118.257523,24.187188,2669.621199,-2645.434011,0.863828,95.343614,-94.479786,6.175362,0.220549,25.531541,0.95,19,0.875,7,0.125,1,0.05,1,0.730769,0.95,0.826087,0.131559,0.596875,0.757714,0.714286,0.639286,0.360714,0.285714,0.664835,0.714286,0.647205,0.131559,0.573661,0.647672,0.513043,0.714286,0.003,0.001,0,0,0,0,208617,31246,6176,71.428571,50,?
breast-cancer,2,9,weka.classifiers.functions.VotedPerceptron,'-I 1 -E 1.0 -S 1 -M 10000',-1072429260104568698,20191104.1033,258,28,22,6,0,78.571429,21.428571,0,0.432432,0.214284,0.462906,51.723739,102.417522,24.187188,1642.421913,-1618.234725,0.863828,58.657925,-57.794097,10.678022,0.381358,44.147431,0.9,18,0.5,4,0.5,4,0.1,2,0.818182,0.9,0.857143,0.440386,0.81875,0.882545,0.785714,0.385714,0.614286,0.214286,0.774892,0.785714,0.77551,0.440386,0.81875,0.826733,0.714286,0.785714,0.004,0,0,0,0,0,208617,31246,6176,78.571429,50,?
breast-cancer,2,10,weka.classifiers.functions.VotedPerceptron,'-I 1 -E 1.0 -S 1 -M 10000',-1072429260104568698,20191104.1033,258,28,22,6,0,78.571429,21.428571,0,0.432432,0.19643,0.433012,47.414132,95.803446,24.187188,1620.3388,-1596.151612,0.863828,57.869243,-57.005415,11.929438,0.426051,49.321309,0.9,18,0.5,4,0.5,4,0.1,2,0.818182,0.9,0.857143,0.440386,0.740625,0.829481,0.785714,0.385714,0.614286,0.214286,0.774892,0.785714,0.77551,0.440386,0.743304,0.773171,0.714286,0.785714,0.006,0.001,0,0,0,0,208617,31246,6176,82.142857,51.785714,?
breast-cancer,3,1,weka.classifiers.functions.VotedPerceptron,'-I 1 -E 1.0 -S 1 -M 10000',-1072429260104568698,20191104.1033,257,29,19,10,0,65.517241,34.482759,0,0.082278,0.335554,0.573388,79.305984,123.890454,25.930469,2985.215065,-2959.284596,0.894154,102.938451,-102.044296,3.792056,0.130761,14.623939,0.85,17,0.777778,7,0.222222,2,0.15,3,0.708333,0.85,0.772727,0.088454,0.572222,0.72374,0.655172,0.58295,0.41705,0.344828,0.612644,0.655172,0.621585,0.088454,0.629981,0.663959,0.529221,0.655172,0.005,0.001,0,0,0,0,208196,31137,6285,68.965517,51.724138,?
breast-cancer,3,2,weka.classifiers.functions.VotedPerceptron,'-I 1 -E 1.0 -S 1 -M 10000',-1072429260104568698,20191104.1033,257,29,18,11,0,62.068966,37.931034,0,-0.045902,0.380946,0.615945,90.034088,133.08553,25.930469,4609.942726,-4584.012257,0.894154,158.963542,-158.069388,1.010983,0.034861,3.898821,0.85,17,0.888889,8,0.111111,1,0.15,3,0.68,0.85,0.755556,-0.052175,0.477778,0.682145,0.62069,0.659579,0.340421,0.37931,0.546552,0.62069,0.568818,-0.052175,0.510536,0.583128,0.454701,0.62069,0.003,0.001,0,0.015625,0,15.625,208196,31137,6285,62.068966,50,?
